epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6803.42,1.24782,0.73099,1.05445,0.65401,0.49182,0.49568,0.21753,1.88545,1.05943,1.33781,0.000740333,0.000740333,0.000740333
43,6959.28,1.24118,0.72512,1.0467,0.61515,0.48965,0.48828,0.21899,1.86391,1.05745,1.32737,0.000734,0.000734,0.000734
44,7115.34,1.22123,0.71738,1.04364,0.62729,0.49544,0.49385,0.21743,1.8809,1.04655,1.33814,0.000727667,0.000727667,0.000727667
45,7271.11,1.21305,0.70817,1.03666,0.64948,0.49135,0.4949,0.21932,1.8763,1.05654,1.33517,0.000721333,0.000721333,0.000721333
46,7427.36,1.21708,0.71735,1.04212,0.65199,0.49708,0.50494,0.22362,1.86117,1.04534,1.33093,0.000715,0.000715,0.000715
47,7583.61,1.19637,0.69224,1.03349,0.66313,0.49524,0.50417,0.22276,1.87109,1.04669,1.342,0.000708667,0.000708667,0.000708667
48,7739.65,1.18558,0.67905,1.02443,0.65756,0.48933,0.49945,0.22017,1.86345,1.04728,1.33704,0.000702333,0.000702333,0.000702333
49,7895.97,1.19663,0.69362,1.03434,0.66701,0.49438,0.50489,0.22217,1.86714,1.05381,1.33952,0.000696,0.000696,0.000696
50,8051.86,1.1883,0.68,1.0314,0.66676,0.48866,0.50262,0.22248,1.87898,1.03626,1.3466,0.000689667,0.000689667,0.000689667
51,8207.84,1.17552,0.67652,1.02546,0.65049,0.49702,0.5035,0.22129,1.86722,1.04952,1.34211,0.000683333,0.000683333,0.000683333
52,8363.44,1.17158,0.67473,1.0252,0.6686,0.49122,0.50208,0.22037,1.86895,1.05115,1.34287,0.000677,0.000677,0.000677
53,8519.12,1.16226,0.67285,1.01617,0.65558,0.50405,0.50734,0.22383,1.87098,1.04637,1.34009,0.000670667,0.000670667,0.000670667
54,8674.91,1.15843,0.66076,1.01742,0.64152,0.50512,0.50454,0.22134,1.88098,1.05624,1.35171,0.000664333,0.000664333,0.000664333
55,8830.77,1.141,0.65459,1.01047,0.66249,0.4983,0.50337,0.22276,1.86601,1.03029,1.34218,0.000658,0.000658,0.000658
56,8986.67,1.14242,0.65684,1.00999,0.65757,0.50164,0.50078,0.22276,1.87259,1.04644,1.34857,0.000651667,0.000651667,0.000651667
57,9142.53,1.13755,0.65189,1.00773,0.66835,0.50147,0.50816,0.22331,1.86788,1.03734,1.34546,0.000645333,0.000645333,0.000645333
58,9298.32,1.1352,0.66218,1.0067,0.65462,0.50832,0.50547,0.22392,1.85349,1.03092,1.33595,0.000639,0.000639,0.000639
59,9453.88,1.12145,0.64939,1.00219,0.66394,0.50534,0.50955,0.22488,1.85961,1.02743,1.34552,0.000632667,0.000632667,0.000632667
60,9609.78,1.11904,0.63934,0.99925,0.66947,0.49971,0.50834,0.22357,1.85641,1.04116,1.33948,0.000626333,0.000626333,0.000626333
